Date,Open,High,Low,Close,Adj Close,Volume
2000-11-28,53.0,53.0,48.375,48.375,48.375,389000
2000-11-29,49.5,49.75,48.25,48.5,48.5,30600
2000-11-30,48.1875,48.1875,44.0,44.5,44.5,403100
2000-12-01,45.1875,46.375,44.0,45.0,45.0,322300
2000-12-04,44.875,47.5625,44.875,46.125,46.125,180700
2000-12-05,46.5,51.75,45.8125,51.625,51.625,203800
2000-12-06,50.625,51.5,47.375,49.5,49.5,188000
2000-12-07,47.3125,48.9375,46.0,47.875,47.875,112700
2000-12-08,49.0,50.875,49.0,50.125,50.125,103700
2000-12-11,50.125,52.625,50.125,52.125,52.125,317100
2000-12-12,51.875,52.0625,49.1875,49.1875,49.1875,64200
2000-12-13,50.0,51.0,46.8125,46.875,46.875,66500
2000-12-14,48.0,48.0,45.0,45.25,45.25,180500
2000-12-15,45.75,45.75,44.375,44.75,44.75,232600
2000-12-18,46.0,46.25,42.875,43.875,43.875,195900
2000-12-19,43.5312,45.5,43.25,43.8125,43.8125,1294800
2000-12-20,43.25,43.375,40.25,40.25,40.25,428800
2000-12-21,40.0,40.0,36.875,37.25,37.25,628900
2000-12-22,38.25,40.0,37.625,39.1875,39.1875,344000
2000-12-26,40.0625,40.25,38.875,39.0,39.0,227800
2000-12-27,39.75,39.75,38.5,39.25,39.25,304400
2000-12-28,39.5,39.625,37.25,37.75,37.75,217500
2000-12-29,38.0,38.5,36.75,37.3125,37.3125,238400
2001-01-02,37.3125,37.75,34.1875,34.6875,34.6875,325000
2001-01-03,34.5,40.0,32.125,39.5,39.5,1001700
2001-01-04,39.6875,43.75,39.625,39.875,39.875,516100
2001-01-05,40.6875,40.6875,38.0,38.75,38.75,309400
2001-01-08,38.75,39.5,36.75,37.0625,37.0625,443400
2001-01-09,37.125,38.75,37.015598,37.5,37.5,482500
2001-01-10,37.5625,39.1875,37.5625,39.125,39.125,651300
2001-01-11,38.875,41.875,38.625,41.875,41.875,743700
2001-01-12,41.625,44.25,41.125,42.0,42.0,294800
2001-01-16,41.875,43.625,41.625,41.75,41.75,202300
2001-01-17,43.0937,47.375,43.0,45.0625,45.0625,388400
2001-01-18,46.0,51.5,45.125,50.0,50.0,429600
2001-01-19,51.875,52.5625,49.625,49.625,49.625,447900
2001-01-22,49.25,50.5625,48.0,49.9375,49.9375,354500
2001-01-23,49.75,50.375,49.1875,50.0625,50.0625,272400
2001-01-24,49.625,50.359299,49.1875,49.3125,49.3125,337600
2001-01-25,49.125,51.1875,48.75,50.125,50.125,514900
2001-01-26,48.765598,50.8125,47.8125,49.6875,49.6875,620400
2001-01-29,49.734299,51.25,48.875,49.875,49.875,202300
2001-01-30,50.0,51.8125,50.0,51.3125,51.3125,260600
2001-01-31,50.3125,52.0,49.6875,49.6875,49.6875,168500
2001-02-01,49.9375,51.1875,49.5,50.625,50.625,97200
2001-02-02,51.125,51.234299,47.9375,48.6875,48.6875,211900
2001-02-05,48.875,48.875,47.375,48.0625,48.0625,321800
2001-02-06,47.765598,49.0,46.1875,48.890598,48.890598,253000
2001-02-07,49.0625,49.0625,46.375,46.5,46.5,417200
2001-02-08,47.125,48.5,46.0,46.6875,46.6875,347500
2001-02-09,46.5,47.0,45.9375,45.984299,45.984299,266800
2001-02-12,45.875,50.3125,45.875,50.3125,50.3125,330200
2001-02-13,49.875,50.109299,48.375,48.375,48.375,156000
2001-02-14,46.0,48.125,46.0,47.5625,47.5625,366600
2001-02-15,47.625,50.0,47.5312,49.1875,49.1875,366300
2001-02-16,47.75,47.75,45.25,47.25,47.25,480600
2001-02-20,47.25,47.5,45.625,45.9375,45.9375,149400
2001-02-21,44.875,46.625,44.25,45.25,45.25,256800
2001-02-22,44.5,45.25,41.875,42.875,42.875,900300
2001-02-23,42.0625,42.1875,39.25,40.5,40.5,631500
2001-02-26,41.0,42.25,40.3125,42.125,42.125,257300
2001-02-27,41.9375,42.0,40.8125,41.0,41.0,170400
2001-02-28,40.75,41.0,37.75,38.6875,38.6875,465000
2001-03-01,38.0,40.125,36.8125,39.6875,39.6875,391400
2001-03-02,39.75,41.5,38.5,39.875,39.875,238300
2001-03-05,39.9375,41.25,38.75,39.5,39.5,364300
2001-03-06,40.375,41.625,39.75,41.125,41.125,334100
2001-03-07,37.0,37.6875,34.5,35.5625,35.5625,1932200
2001-03-08,35.5,35.625,33.25,33.75,33.75,593600
2001-03-09,33.0,33.75,31.0,31.3125,31.3125,548800
2001-03-12,30.7812,31.0,29.375,30.75,30.75,449200
2001-03-13,30.5625,33.625,30.4375,32.9375,32.9375,471200
2001-03-14,30.1875,32.5625,30.125,31.375,31.375,348300
2001-03-15,31.75,32.625,30.125,30.1875,30.1875,518100
2001-03-16,30.1875,31.75,29.125,29.625,29.625,434400
2001-03-19,29.375,29.875,25.5,28.375,28.375,689200
2001-03-20,28.25,28.375,26.0,26.1875,26.1875,506900
2001-03-21,25.8125,26.75,24.25,26.375,26.375,1087100
2001-03-22,26.125,28.5,25.5,27.875,27.875,711400
2001-03-23,28.0,30.375,27.984301000000002,29.875,29.875,484400
2001-03-26,30.625,31.4375,29.125,29.3125,29.3125,361500
2001-03-27,29.0,31.25,28.5,29.375,29.375,545300
2001-03-28,29.125,29.25,28.125,28.875,28.875,973700
2001-03-29,28.9375,30.8125,28.625,29.75,29.75,607000
2001-03-30,30.25,31.375,28.5625,31.0625,31.0625,420800
2001-04-02,31.25,31.8125,29.1562,29.875,29.875,249000
2001-04-03,30.625,30.625,26.7812,27.0625,27.0625,178200
2001-04-04,27.375,27.5,25.6875,25.9375,25.9375,387200
2001-04-05,27.375,30.3125,26.75,29.75,29.75,194800
2001-04-06,29.3125,29.5,27.1875,27.8125,27.8125,104700
2001-04-09,28.440001000000002,28.6,27.5,27.68,27.68,43700
2001-04-10,27.25,28.9,27.209999,28.6,28.6,347300
2001-04-11,29.1,33.09,29.1,30.450001,30.450001,310000
2001-04-12,31.0,33.490002000000004,30.200001,32.0,32.0,139600
2001-04-16,32.0,32.09,30.5,30.74,30.74,219000
2001-04-17,30.5,32.0,30.25,31.41,31.41,108600
2001-04-18,32.41,36.369999,32.099998,35.0,35.0,652100
2001-04-19,34.860001000000004,36.119999,34.299999,35.189999,35.189999,323100
2001-04-20,35.349998,35.349998,33.77,34.5,34.5,165000
2001-04-23,33.5,33.5,31.93,32.299999,32.299999,250500
2001-04-24,32.5,33.48,31.709999,31.709999,31.709999,120900
2001-04-25,31.76,33.639998999999996,31.5,33.259997999999996,33.259997999999996,53600
2001-04-26,33.299999,35.189999,33.299999,33.650002,33.650002,218000
2001-04-27,34.549999,34.689999,32.860001000000004,34.130001,34.130001,90600
2001-04-30,34.950001,35.200001,34.009997999999996,34.439999,34.439999,93800
2001-05-01,34.450001,35.369999,33.939999,35.240002000000004,35.240002000000004,187100
2001-05-02,35.169998,38.200001,34.869999,37.599998,37.599998,371100
2001-05-03,34.25,34.400002,31.9,33.490002000000004,33.490002000000004,918000
2001-05-04,32.939999,33.299999,31.9,32.439999,32.439999,646400
2001-05-07,32.240002000000004,32.25,29.809998999999998,30.440001000000002,30.440001000000002,438400
2001-05-08,30.99,31.299999,29.940001000000002,31.25,31.25,351700
2001-05-09,30.6,33.049999,30.549999,32.0,32.0,632000
2001-05-10,32.93,34.299999,31.25,31.639999,31.639999,504500
2001-05-11,31.25,31.76,30.540001,31.049999,31.049999,257600
2001-05-14,31.110001,31.15,30.75,31.0,31.0,113800
2001-05-15,31.0,32.700001,30.950001,32.400002,32.400002,157000
2001-05-16,32.099998,33.639998999999996,32.0,33.07,33.07,141100
2001-05-17,33.400002,35.299999,33.07,35.150002,35.150002,331700
2001-05-18,35.049999,35.200001,34.119999,34.52,34.52,125100
2001-05-21,34.459998999999996,37.459998999999996,34.349998,37.150002,37.150002,376500
2001-05-22,37.439999,38.0,36.950001,37.939999,37.939999,381300
2001-05-23,37.959998999999996,37.959998999999996,35.400002,35.950001,35.950001,285000
2001-05-24,36.189999,37.0,36.139998999999996,36.470001,36.470001,99600
2001-05-25,36.799999,37.299999,35.98,36.77,36.77,78800
2001-05-29,36.830002,36.880001,35.310001,35.549999,35.549999,115900
2001-05-30,34.639998999999996,34.900002,33.400002,33.5,33.5,187500
2001-05-31,33.549999,35.77,33.549999,35.57,35.57,186600
2001-06-01,35.639998999999996,35.900002,34.650002,35.400002,35.400002,69200
2001-06-04,35.0,36.0,35.0,36.0,36.0,186000
2001-06-05,35.98,37.950001,35.950001,36.950001,36.950001,426200
2001-06-06,37.0,37.080002,36.16,37.060001,37.060001,130900
2001-06-07,36.75,37.900002,36.75,37.810001,37.810001,54400
2001-06-08,38.009997999999996,40.389998999999996,37.459998999999996,37.669998,37.669998,952400
2001-06-11,37.5,37.599998,35.25,36.5,36.5,216400
2001-06-12,35.619999,35.990002000000004,33.349998,35.34,35.34,616100
2001-06-13,35.25,36.150002,30.24,35.900002,35.900002,2554100
2001-06-14,34.25,34.48,32.599998,33.0,33.0,544300
2001-06-15,32.790001000000004,33.0,31.65,32.700001,32.700001,458300
2001-06-18,32.060001,32.5,31.6,31.68,31.68,468000
2001-06-19,32.200001,32.599998,31.33,31.549999,31.549999,309600
2001-06-20,31.25,32.330002,31.0,32.060001,32.060001,154800
2001-06-21,32.0,34.139998999999996,31.940001000000002,33.360001000000004,33.360001000000004,168800
2001-06-22,34.25,34.5,33.150002,33.900002,33.900002,217600
2001-06-25,34.25,34.700001,33.619999,34.639998999999996,34.639998999999996,91700
2001-06-26,34.200001,35.200001,33.700001,34.599998,34.599998,126700
